Unnamed: 0,date,instrument,ROE,Free_Cash_Flow,EPS,Net_Profit_Qoq,PE_TTM,Market_Cap,Holder_Avg_Pct,return_5,rank_return_5,rank_avg_amount_5,amount,open,close
436904,2022/6/13,600010.SHA,0.5968,-4742632448.0,0.0073,136.317,39.974598,98463670520.0,0.001043205,1.0434783,0.780996,0.9812656,1700845321,17.665392,17.998701
436905,2022/6/14,600010.SHA,0.5968,-4742632448.0,0.0073,136.317,40.159668,98919520846.0,0.001043205,1.0187794,0.74234533,0.9797959,1341691228,17.748718,18.08203
436906,2022/6/15,600010.SHA,0.5968,-4742632448.0,0.0073,136.317,39.604465,97551969867.0,0.001043205,1.0239235,0.7747241,0.97794884,1221252193,17.998701,17.832047
436907,2022/6/16,600010.SHA,0.5968,-4742632448.0,0.0073,136.317,39.23433,96640269214.0,0.001043205,0.99065423,0.38621694,0.9773106,1277417614,17.748718,17.665392
436908,2022/6/17,600010.SHA,0.5968,-4742632448.0,0.0073,136.317,39.419395,97096119540.0,0.001043205,1.0094787,0.3809127,0.975,995121030,17.498737,17.748718
436909,2022/6/20,600010.SHA,0.5968,-4742632448.0,0.0073,136.317,38.864193,95728568561.0,0.001043205,0.9813084,0.17471887,0.968763,866570491,17.665392,17.498737
436910,2022/6/21,600010.SHA,0.5968,-4742632448.0,0.0073,136.317,41.270073,101655000000.0,0.001043205,1.0324074,0.68245214,0.98085725,4148973711,17.582064,18.581993
436911,2022/6/22,600010.SHA,0.5968,-4742632448.0,0.0073,136.317,45.34156,111683000000.0,0.001043205,1.1290323,0.9512297,0.9916632,5513695384,18.915302,20.415194
436912,2022/6/23,600010.SHA,0.5968,-4742632448.0,0.0073,136.317,45.34156,111683000000.0,0.001043205,1.1448598,0.9376953,0.99562407,6621622081,20.581848,20.415194
436913,2022/6/24,600010.SHA,0.5968,-4742632448.0,0.0073,136.317,48.857845,120344000000.0,0.001043205,1.245283,0.9808133,0.9968737,6389088772,19.998556,21.998413
436914,2022/6/27,600010.SHA,0.5968,-4742632448.0,0.0073,136.317,49.04291,120800000000.0,0.001043205,1.2441314,0.9816552,0.99770737,4816908085,22.248394,22.08174
436915,2022/6/28,600010.SHA,0.5968,-4742632448.0,0.0073,136.317,46.451965,114418000000.0,0.001043205,1.1952381,0.96914095,0.99833196,4351568276,22.08174,20.915157
436916,2022/6/29,600010.SHA,0.5968,-4742632448.0,0.0073,136.317,43.86102,108037000000.0,0.001043205,1.0713167,0.8714792,0.9981238,2729965711,20.747166,19.9072
436917,2022/6/30,600010.SHA,0.5968,-4742632448.0,0.0073,136.317,43.490883,107125000000.0,0.001043205,0.966888,0.07923269,0.99729055,2222948474,19.991196,19.739206
436918,2022/7/1,600010.SHA,0.5968,-4742632448.0,0.0073,136.317,46.08183,113507000000.0,0.001043205,1.0244899,0.6242449,0.9964613,3173623941,19.571213,20.91516
436919,2022/7/4,600010.SHA,0.5968,-4742632448.0,0.0073,136.317,44.601288,109860000000.0,0.001043205,0.92021114,0.044185076,0.9945811,1997515080,20.579172,20.243185
436920,2022/7/5,600010.SHA,0.5968,-4742632448.0,0.0073,136.317,45.156494,111227000000.0,0.001043205,0.92815036,0.08979166,0.99333334,2647893437,19.9072,20.495174
436921,2022/7/6,600010.SHA,0.5968,-4742632448.0,0.0073,136.317,43.86102,108037000000.0,0.001043205,0.9518073,0.348813,0.9910491,1656625597,20.15919,19.9072
436922,2022/7/7,600010.SHA,0.5968,-4742632448.0,0.0073,136.317,43.86102,108037000000.0,0.001043205,1.0,0.58900684,0.9893861,1313411244,19.739206,19.9072
436923,2022/7/8,600010.SHA,0.5968,-4742632448.0,0.0073,136.317,43.675953,107581000000.0,0.001043205,1.0042553,0.66243494,0.98689413,1145352956,19.991196,19.823202
436924,2022/7/11,600010.SHA,0.5968,-4742632448.0,0.0073,136.317,42.19541,103934000000.0,0.001043205,0.91566265,0.05723205,0.98397505,1534914039,19.739206,19.15123
